Author,Work,Book,Chapter,Line,Latin,English,Link
Vitruvius,De Architectura,1,5,8,"De ipso autem muro, e qua materia struatur autperficiatur, ideo non est praefiniendum, quod in omnibuslocis, quas optamus copias, eas non possumus habere. sedubi sunt saxa quadrata sive silex seu caementum autcoctus later sive crudus, his erit utendum. non enim, utiBabylone abundantes liquido bitumine pro calce et harenaex cocto latere factum habent murum, sic item possuntomnes regiones seu locorum proprietates habere tantaseiusdem generis utilitates, uti ex his comparationibus adaeternitatem perfectus habeatur sine vitio murus.","I do not think it requisite to dilate on the materials whereof the wall should be composed; because those which are most desirable, cannot, from the situation of a place, be always procured. We must, therefore, use what are found on the spot; such as square stones, flint, rubble stones, burnt or unburnt bricks; for every place is not provided, as is Babylon, with such a substitute for lime and sand as burnt bricks and liquid bitumen; yet there is scarcely any spot which does not furnish materials whereof a durable wall may not be built.",
Vitruvius,De Architectura,2,4,1,"In caementiciis autem structuris primum est de harenaquaerendum, ut ea sit idonea ad materiem miscendamneque habeat terram commixtam. genera autem harenaefossiciae sunt haec: nigra, cana, rubra, carbunculus. ex hisquae in manu confricata fecerit stridorem, erit optima;quae autem terrosa fuerit, non habebit asperitatem. itemsi in vestimentum candidum ea coniecta fuerit, posteaexcussa vel icta id non inquinarit neque ibi terrasubsiderit, erit idonea.","In buildings of rubble work it is of the first importance that the sand be fit for mixing with the lime, and unalloyed with earth. The different sorts are these; black, white, deep red, and bright red. The best of each of these sorts is that which, when rubbed between the fingers, yields a grating sound. That, also, which is earthy, and does not possess the roughness above named, is fit for the purpose, if it merely leave a stain or any particles of earth on a white garment, which can easily be brushed away.",
Vitruvius,De Architectura,2,4,3,"Fossiciae vero celeriter in structuris siccescunt, et tectoriapermanent, et concamerationes patiuntur, sed eae, quaesunt de harenariis recentes. si enim exemptae diutiusiacent, ab sole et luna et pruina concoctae resolvuntur etfiunt terrosae. ita cum in structuram coiciuntur, nonpossunt continere caementa, sed ea ruunt et labunturoneraque parietes non possunt sustinere. recentes autemfossiciae cum in structuris tantas habeant virtutes, eae intectoriis ideo non sunt utiles, quod pinguitudini eius calxcommixta propter vehementiam non potest sine rimisinarescere. fluviatica vero propter macritatem utisigninum liaculorum subactionibus in tectorio recipitsoliditatem.","but plaster readily adheres to and dries on walls built with new pit sand, and vaulting may safely spring from them. If sand have been dug a long time, and exposed to the sun, the moon, and the rain, it loses its binding quality, and becomes earthy; neither when used does it bind the rubble stones together so as to prevent them sliding on their beds and falling out: nor is it fit to be used in walls where great weights are to be supported. Though pit sand is excellent for mortar, it is unfit for plastering; for being of such a rich quality, when added to the lime and straw, its great strength does not suffer it to dry without cracks. The poorness of the river sand, when tempered with beaters, makes the plastering as hard as cement.",
Vitruvius,De Architectura,2,6,1,"Est etiam genus pulveris, quod efficit naturaliter resadmirandas. nascitur in regionibus Baianis in agrismunicipiorum, quae sunt circa Vesuvium montem. quodcommixtum cum calce et caemento non modo ceterisaedificiis praestat firmitates, sed etiam moles cumstruuntur in mari, sub aqua solidescunt. hoc autem fierihac ratione videtur, quod sub his montibus et terraeferventes sunt et fontes crebri, qui non essent, si non inimo haberent aut e sulphure aut alumine aut bitumineardentes maximos ignes. igitur penitus ignis et flammaevapor per intervenia permanans et ardens efficit levemeam terram, et ibi quod nascitur tofus exsurgens, est sineliquore. ergo cum tres res consimili ratione ignisvehementia foratae in unam pervenerint mixtionem, repente recepto liquore una cohaerescunt et celeriterumore duratae solidantur, neque eas fluctus neque visaquae potest dissolvere.","There is a species of sand which, naturally, possesses extraordinary qualities. It is found about Baiæ and the territory in the neighbourhood of Mount Vesuvius; if mixed with lime and rubble, it hardens as well under water as in ordinary buildings. This seems to arise from the hotness of the earth under these mountains, and the abundance of springs under their bases, which are heated either with sulphur, bitumen, or alum, and indicate very intense fire. The inward fire and heat of the flame which escapes and burns through the chinks, makes this earth light; the sand-stone (tophus), therefore, which is gathered in the neighbourhood, is dry and free from moisture. Since, then, three circumstances of a similar nature, arising from the intensity of the fire, combine in one mixture, as soon as moisture supervenes, they cohere and quickly harden through dampness; so that neither the waves nor the force of the water can disunite them.",
Vitruvius,De Architectura,2,7,1,"De calce et harena, quibus varietatibus sint et quashabeant virtutes, dixi. sequitur ordo de lapidicinisexplicare, de quibus et quadrata saxa et caementorum adaedificia eximuntur copiae et comparantur. haec auteminveniuntur esse disparibus et dissimilibus virtutibus. sunt enim aliae molles, uti sunt circa urbem Rubrae, Pallenses, Fidenates, Albanae; aliae temperatae, utiTiburtinae, Amiterninae, Soractinae et quae sunt hisgeneribus; nonnullae durae, uti siliceae. sunt etiam aliagenera plura, uti in Campania rubrûm et nigrûm tofûm, inUmbria et Piceno et in Venetia albus, quod etiam serradentata uti lignum secatur.","I have described the different species of lime and sand, and their qualities. Stone quarries, from which square and rubble stones are procured and prepared for the purposes of building, will now be considered. The qualities of these differ very much. Some stone is soft; the red, for instance, found in the neighbourhood of Rome, in the countries of the Pallienses, Fidenates, and Albanæ. Some moderately so, as the Tiburtine, Amiternine, Soractine, and those of that sort. Others are hard, even as flints. There are many other species, as the red and black sandstone (tophus) of Campania, and the white sort of Umbria, Picenum, and Venice, which is cut with a saw like wood.",
Vitruvius,De Architectura,2,7,5,"Cum ergo propter propinquitatem necessitas cogat exRubris lapidicinis et Pallensibus et quae sunt urbiproximae copiis uti, si qui voluerit sine vitiis perficere, itaerit praeparandum. cum aedificandum fuerit, antebiennium ea saxa non hieme sed aestate eximantur etiacentia permaneant in locis patentibus. quae autem eobiennio a tempestatibus tacta laesa fuerint, ea infundamenta coiciantur; cetera, quae non erunt vitiata, abnatura rerum probata durare poterunt supra terramaedificata. nec solum ea in quadratis lapidibus suntobservanda, sed etiam in caementiciis structuris.","But as necessity, on account of proximity to the quarries, obliges us to use the red sort of stone, that of the Pallienses and other species in the immediate vicinity of the city, in order to find that which is least defective, let it be selected as follows. Two years before the commencement of the building, the stones should be extracted from the quarries in the summer season; by no means in the winter; and they should then be exposed to the vicissitudes and action of the weather. Those which, after two years' exposure, are injured by the weather, may be used in the foundations; but those which continue sound after this ordeal, will endure in the parts above ground. These rules apply equally to squared as to rubble or unsquared stone work.",
Vitruvius,De Architectura,2,8,3,"Id autem licet animadvertere etiam de nonnullismonumentis, quae circa urbem facta sunt e marmore seulapidibus quadratis intrinsecusque medio calcata: structuris vetustate evanida facta materiacaementorumque exsucta raritate, proruunt etcoagmentorum ab ruina dissolutis iuncturis dissipantur.","We may see this in several monuments about the city, which have been built of marble or of stones squared externally; that is, on the face, but filled up with rubble run with mortar. Time, in these, has taken up the moisture of the mortar, and destroyed its efficacy, by the porosity of the surface on which it acted. All cohesion is thus ruined, and the walls fall to decay.",
Vitruvius,De Architectura,2,8,7,"Altera est quam ????????? appellant, qua etiam nostrirustici utuntur. quorum frontes poliuntur, reliqua ita, utisunt nata, cum materia conlocata alternis alligantcoagmentis. sed nostri celeritati studentes, erectaconlocantes frontibus serviunt et in medio farciunt fractisseparatim cum materia caementis. ita tres suscitantur inea structura crustae, duae frontium et una media farturae. Graeci vero non ita, sed plana conlocantes et longitudineseorum alternis in crassitudinem instruentes, non mediafarciunt, sed e suis frontatis perpetuam et unamcrassitudinem parietum consolidant. praetereainterponunt singulos crassitudine perpetua utraque partefrontatos, quos ???????? appellant, qui maxime religandoconfirmant parietum soliditatem.",#VALUE!,
Vitruvius,De Architectura,5,5,7,"Dicet aliquis forte multa theatra quotannis Romae factaesse neque ullam rationem harum rerum in his fuisse; sederrabit in eo, quod omnia publica lignea theatratabulationes habent complures, quas necesse est sonare. hoc vero licet animadvertere etiam ab citharoedis, qui, superiore tono cum volunt canere, avertunt se ad scaenaevalvas et ita recipiunt ab earum auxilio consonantiamvocis. cum autem ex solidis rebus theatra constituuntur, id est ex structura caementorum, lapide, marmore, quaesonare non possunt, tunc echeis hae rationes suntexplicandae.","Some one may perchance urge, that many theatres are yearly built in Rome, without any regard to these matters. But let him not be herein mistaken, inasmuch as all public theatres which are constructed of wood, have many floors, which are necessarily conductors of sound. This circumstance may be illustrated, by consideration of the practice of those that sing to the harp, who when they wish to produce a loud effect, turn themselves to the doors of the scene, by the aid of which their voice is thrown out. But when theatres are constructed of solid materials, that is of rubble, squared stones or marble, which are not conductors of sound, it is necessary to build them according to the rules in question.",
Vitruvius,De Architectura,5,12,6,"Sin autem mollis locus erit, palis ustilatis alneis autoleagineis configantur et carbonibus compleantur, quemadmodum in theatrorum et muri fundationibus estscriptum. deinde tunc quadrato saxo murus ducaturiuncturis quam longissimis, uti maxime medii lapidescoagmentis contineantur. tunc, qui locus erit intermurum, ruderatione sive structura compleatur. ita erit utipossit turris insuper aedificari.","But if the bottom be very soft, alder, olive, or oak piles, previously charred, must be driven, and the intervals between them filled with coals, as directed above for the foundations of theatres and walls. The wall is then raised with squared stones, the joints of which are to be as long as possible, in order that the middle stones may be well tied in. The inside of the wall is then filled with rubble or masonry; and on this, even a tower might be erected.",
