Author,Work,Book,Chapter,Line,Latin,English,Link
Vitruvius,De Architectura,5,10,3,"Concamarationes vero si ex structura factaefuerint, erunt utiliores; sin autem contignationesfuerint, figlinum opus subiciatur. sed hoc ita eritfaciendum. regulae ferreae aut arcus fiant, eaequeuncinis ferreis ad contignationem suspendanturquam creberrimis; eaeque regulae sive arcus itadisponantur, uti tegulae sine marginibus sedere induabus invehique possint, et ita totaeconcamarationes in ferro nitentes sint perfectae. earumque camararum superiora coagmenta exargilla cum capillo subacta liniantur; inferiorautem pars, quae ad pavimentum spectat, primumtesta cum calce trullizetur, deinde opere albariosive tectorio poliatur. eaeque camarae in caldariissi duplices factae fuerint, meliorem habebuntusum; non enim a vapore umor corrumperepoterit materiem contignationis, sed inter duascamaras vagabitur.","The under side towards the pavement is first plastered with pounded tiles and lime, and then finished with stucco or fine plastering. ",
Vitruvius,De Architectura,6,7,3,"Coniunguntur autem his domus amplioreshabentes lautiora peristylia, in quibus pares suntquattuor porticus altitudinibus, aut una, quae admeridiem spectat, excelsioribus columnisconstituitur. id autem peristylum, quod unamaltiorem habet porticum, rhodiacum dicitur.habent autem eae domus vestibula egregia etianuas proprias cum dignitate porticusqueperistyliorum albariis et tectoriis et ex intestinoopere lacunariis ornatas, et in porticibus, quae adseptentrionem spectant, triclinia cyzicena etpinacothecas, ad orientem autem bybliothecas, exhedras ad occidentem, ad meridiem verospectantes oecos quadratos ita amplamagnitudine, uti faciliter in eo quattuor tricliniisstratis ministrationum ludorumque operis locuspossit esse spatiosus.","These houses have magnificent vestibules, elegant gates, and the porticos of the peristylia are decorated with stucco and plastering, and with inlaid ceilings.",
Vitruvius,De Architectura,7,2,1,"Cum a pavimentorum cura discessum fuerit, tuncde albariis operibus est explicandum. id autem eritrecte, si glaebae calcis optimae ante multotempore, quam opus fuerit, macerabuntur, uti, siqua glaeba parum fuerit in fornace cocta, inmaceratione diuturna liquore defervere coactauno tenore concoquatur. namque cum non penitusmacerata sed recens sumitur, cum fuerit inductahabens latentes crudos calculos, pustulas emittit. qui calculi, in opere uno tenore cumpermacerantur, dissolvunt et dissipant tectoriipolitiones.","Having given the necessary directions in respect of pavement, we shall explain the method of stuccoing. This requires that the lime should be of the best quality, and tempered a long time before it is wanted for use; so that if any of it be not burnt enough, the length of time employed in slaking it may bring the whole mass to the same consistence. If the lime be not thoroughly slaked, but used fresh, it will when spread throw out blisters, from the crude particles it contains, which, in execution, break and destroy the smoothness of the stucco.",
Vitruvius,De Architectura,7,3,6,"Cum ab harena praeter trullissationem non minustribus coriis fuerit deformatum, tunc e marmoregraneo directiones sunt subigendae, dum itamateries temperetur, uti, cum subigatur, nonhaereat ad rutrum, sed purum ferrum e mortarioliberetur. grandi inducto et inarescente alterumcorium mediocre dirigatur; id cum subactumfuerit et bene fricatum, subtilius inducatur. itacum tribus coriis harenae et item marmorissolidati parietes fuerint, neque rimas, neque aliudvitium in se recipere poterunt,","When, besides the first coat, three sand coats at least have been laid, the coat of marble-dust follows; and this is to be so prepared, that when used, it does not stick to the trowel, but easily comes away from the iron. Whilst the stucco is drying, another thin coat is to be laid on: this is to be well worked and rubbed, and then still another, finer than the last. Thus, with three sand coats, and the same number of marble-dust coats, the wall will be rendered solid, and not liable to cracks or other defects.",
Vitruvius,De Architectura,7,3,7,"sed et liaculorum subactionibus fundata soliditatemarmorisque candore firmo levigata, coloribuscum politionibus inductis nitidos exprimentsplendores. colores autem, udo tectorio cumdiligenter sunt inducti, ideo non remittunt sedsunt perpetuo permanentes, quod calx, infornacibus excocto liquore facta raritatibusevanida, ieiunitate coacta corripit in se quae resforte contigerunt, mixtionibusque ex aliispotestatibus conlatis seminibus seu principiis unasolidescendo, in quibuscumque membris estformata cum fit arida, redigitur, uti sui generisproprias videatur habere qualitates.","When the work is well beaten, and the under coats made solid, and afterwards well smoothed by the hardness and whiteness of the marble-powder, it throws out the colours mixed therein with great brilliancy. Colours, when used with care on damp stucco, do not fade, but are very durable; because the lime being deprived of its moisture in the kiln, and having become porous and dry, readily imbibes whatever is placed on it. From their different natures the various particles unite in the mixture, and, wherever applied, grow solid; and when dry, the whole seems composed of one body of the same quality.",
Vitruvius,De Architectura,7,3,8,"Itaque tectoria, quae recte sunt facta, nequevetustatibus fiunt horrida neque, cum extergentur, remittunt colores, nisi si parum diligenter et inarido fuerint inducti. cum ergo ita in parietibustectoria facta fuerint, uti supra scriptum est, etfirmitatem et splendorem et ad vetustatempermanentem virtutem poterunt habere. cum verounum corium harenae et unum minuti marmoriserit inductum, tenuitas eius minus valendofaciliter rumpitur nec splendorem politionibuspropter inbecillitatem crassitudinis propriumobtinebit.","Stucco, therefore, when well executed, does not either become dirty, or lose its colour when washed, unless it has been carelessly done, or the colour laid on after the work was dry: if however executed as above directed, it will be strong, brilliant, and of great durability. When only one coat of sand and one of marble-dust are used, it is easily broken, from its thinness; and is not, on that account, capable of acquiring a brilliant appearance.",
Vitruvius,De Architectura,7,3,9,"Quemadmodum enim speculum argenteum tenuilamella ductum incertas et sine viribus habetremissiones splendoris, quod autem e solidatemperatura fuerit factum, recipiens in se firmisviribus politionem fulgentes in aspectu certasqueconsiderantibus imagines reddet, sic tectoria, quae ex tenui sunt ducta materia, non modo suntrimosa, sed etiam celeriter evanescunt, quaeautem fundata harenationis et marmoris soliditatesunt crassitudine spissa, cum sunt politionibuscrebris subacta, non modo sunt nitentia, sed etiamimagines expressas aspicientibus ex eo opereremittunt.","As a silver mirror, made from a thin plate, reflects the image confusedly and weakly, whilst from a thick solid plate it takes a high polish, and reflects the image brilliantly and strongly; so plastering, when thin in substance, not only cracks, but soon decays. On the contrary, that which is well covered with plaster and stucco, and closely laid on, when well polished, not only shines, but reflects to the spectators the images falling on it.",
Vitruvius,De Architectura,7,3,11,"Sin autem in craticiis tectoria erunt facienda, quibus necesse est in arrectariis et transversariisrimas fieri, ideo quod, luto cum linuntur, necessario recipiunt umorem, cum autemarescunt, extenuati in tectoriis faciunt rimas, id utnon fiat, haec erit ratio. cum paries totus lutoinquinatus fuerit, tunc in eo opere cannae clavismuscariis perpetuae figantur, deinde iterum lutoinducto, si priores transversariis harundinibusfixae sunt, secundae erectis figantur, et ita, utisupra scriptum est, harenatum et marmor et omnetectorium inducatur. ita cannarum duplex inparietibus harundinibus transversis fixaperpetuitas nec segmina nec rimam ullam fieripatietur."," If stucco be used on timber partitions, which are necessarily constructed with spaces between the upright and cross pieces, and thence, when smeared with the clay, the reeds, by the side of each other, are to be nailed thereon with bossed nails; and clay having been laid over these, and another layer of reeds nailed on the former, but crossed in their direction, so that one set is nailed upright, and the other horizontally; then, as above described, the sand and marble coats and finishing are to be followed up. The double row of reeds thus crossed on walls prevents all cracks and fissures.",
Vitruvius,De Architectura,7,4,4,"Ipsi autem * * * politionibus eorum ornatus proprios debenthabere ad decoris rationes, uti et ex locis aptas etgenerum discriminibus non alienas habeantdignitates. tricliniis hibernis non est utiliscompositione nec megalographia nec camerarumcoronario opere subtilis ornatus, quod ea et abignis fumo et ab luminum crebris fuliginibuscorrumpuntur. in his vero supra podia abaci exatramento sunt subigendi et poliendi cuneissilaceis seu miniaceis interpositis, et explicandaecamerae pure politae. etiam pavimentorum nonerit displicens, si qui animadvertere volueritGraecorum hibernaculorum usum, minimesumptuosus et utilis apparatus.","The ornaments for polished stuccos ought to be used with a regard to propriety, suitable to the nature of the place, and should be varied in their composition. ",
Vitruvius,De Architectura,7,5,7,"Itaque Apaturius contra respondere non est ausus, sed sustulit scaenam et ad rationem veritatiscommutatam postea correctam adprobavit. utinam dii inmortales fecissent, uti Licymniusrevivisceret et corrigeret hanc amentiamtectoriorumque errantia instituta! sed quarevincat veritatem ratio falsa, non erit alienumexponere. quod enim antiqui insumentes laboremet industriam probare contendebant artibus, idnunc coloribus et eorum eleganti specieconsecuntur, et quam subtilitas artificis adiciebatoperibus auctoritatem, nunc dominicus sumptusefficit, ne desideretur.","Apaturius dared not reply, but took down and altered the scene, so as to make it consistent with truth, and then it was approved. O that the gods would restore Licinius to life, that he might correct the folly, and fashionable inconsistency in our stucco work.",
